condition,query_type,queries,success_at_1,success_at_5,mrr_at_5,ndcg_at_5
concept_filtered,direct_concept,16,1.0,1.0,1.0,1.0
concept_filtered,exam_fragment,80,1.0,1.0,1.0,1.0
concept_filtered,misconception,16,1.0,1.0,1.0,1.0
concept_filtered,multi_concept_review,16,1.0,1.0,1.0,1.0
concept_filtered,vague_student_question,16,1.0,1.0,1.0,1.0
concept_filtered,worked_example,16,1.0,1.0,1.0,1.0
exam_only,direct_concept,16,0.5,0.812,0.635,0.662
exam_only,exam_fragment,80,0.613,0.8,0.692,0.703
exam_only,misconception,16,0.438,0.875,0.591,0.657
exam_only,multi_concept_review,16,0.5,0.812,0.622,0.685
exam_only,vague_student_question,16,0.812,0.812,0.812,0.808
exam_only,worked_example,16,0.688,0.938,0.778,0.79
lecture_only,direct_concept,16,0.25,0.688,0.408,0.487
lecture_only,exam_fragment,80,0.3,0.525,0.368,0.408
lecture_only,misconception,16,0.562,0.688,0.596,0.618
lecture_only,multi_concept_review,16,0.375,0.875,0.523,0.633
lecture_only,vague_student_question,16,0.312,0.75,0.479,0.555
lecture_only,worked_example,16,0.625,0.875,0.708,0.762
lexical,direct_concept,16,0.312,0.875,0.552,0.658
lexical,exam_fragment,80,0.688,0.863,0.752,0.76
lexical,misconception,16,0.75,0.812,0.771,0.773
lexical,multi_concept_review,16,0.75,0.938,0.844,0.858
lexical,vague_student_question,16,0.625,0.875,0.721,0.737
lexical,worked_example,16,0.812,0.938,0.859,0.886
